,level_0,Unnamed: 0,index,EGRIN2.block,conds
929,929,929,1243,oxidative stress,A00436_Q1_t30_diamide A00436_Q2_t60_diamide A00437_Q1_t30_diamide A00437_Q2_t60_diamide A00437_Q3_t90_diamide A00470_Q1_t30_diamide A00470_Q2_t60_diamide H2O2.4mM.vs.ctrl.8h.1 H37Rv.diamide.1h.rep.5 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.1 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.3 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.4 H37Rv.wild.type.control.vs.5mM.Diamide.for.60.min.rep.6 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.2 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.5 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.1 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.2 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.3 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.4 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.5 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.6 X4mM.H2O2.ctrl..2h...1 X4mM.H2O2.ctrl..2h...2 X4mM.H2O2.ctrl..4h...1 X4mM.H2O2.ctrl..4h...2 X4mM.H2O2vsctrl..2h. X4mM.H2O2vsctrl..2h.A X4mM.H2O2vsctrl..4h. X4mM.H2O2vsctrl..4h.A
930,930,930,1244,limited nutrients,Starvation_1254_OA50_12h_03 Starvation_1254_OA50_12h_04 Starvation_1254_OA50_24h_01 Starvation_1254_OA50_24h_02 Starvation_1254_OA50_24h_03 Starvation_1254_OA50_24h_04 Starvation_1254_OA50_3d_01 Starvation_1254_OA50_3d_02 Starvation_1254_OA50_3d_03 Starvation_1254_OA50_3d_04 Starvation_1254_OA50_5d_01 Starvation_1254_OA50_5d_02 Starvation_1254_OA50_5d_03 Starvation_1254_OA50_5d_04 Starvation_1254_OA50_6h_02 Starvation_1254_OA50_6h_03 Starvation_1254_OA50_6h_04 Starvation_1254_PA50_24h_01 Starvation_1254_PA50_24h_02 Starvation_1254_PA50_24h_03 Starvation_1254_PA50_24h_04 Starvation_1254_PA50_6h_01 Starvation_1254_PA50_6h_02 Starvation_1254_PA50_6h_03 Starvation_1254_PA50_6h_04 Starvation_OA50_24h_01 Starvation_OA50_24h_02 Starvation_OA50_24h_03 Starvation_OA50_6h_01 Starvation_OA50_6h_02 Starvation_OA50_6h_04 Starvation_1254_OA50_12h_01 Starvation_1254_OA50_12h_02
931,931,931,1246,nitrosative stress,CDC1551.Ctrl.vs.0.05.mM.DETA.NO.40.min.rep.2 CDC1551.Ctrl.vs.0.05.mM.DETA.NO.40.min.rep.3 CDC1551.Ctrl.vs.0.05.mM.DETA.NO.40.min.rep.4 CDC1551.Ctrl.vs.0.05.mM.DETA.NO.40.min.rep.5 H37Rv.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.1 H37Rv.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.2 H37Rv.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.3 MTB.strain.1254.Ctrl.vs.0.005.mM.DETA.NO.40min.rep.1.x MTB.strain.1254.Ctrl.vs.0.005.mM.DETA.NO.40min.rep.1.y MTB.strain.1254.Ctrl.vs.0.005.mM.DETA.NO.40min.rep.2.x MTB.strain.1254.Ctrl.vs.0.005.mM.DETA.NO.40min.rep.2.y MTB.strain.1254.Ctrl.vs.0.005.mM.DETA.NO.40min.rep.3.x MTB.strain.1254.Ctrl.vs.0.005.mM.DETA.NO.40min.rep.4.x MTB.strain.1254.Ctrl.vs.0.005.mM.DETA.NO.40min.rep.4.y MTB.strain.1254.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.1.x MTB.strain.1254.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.1.y MTB.strain.1254.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.3.x MTB.strain.1254.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.5.x MTB.strain.1254.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.6.x MTB.strain.1254.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.6.y MTB.strain.1254.Ctrl.vs.0.05.mM.DETA.NO.40min.rep.7.x MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.16hrs.rep.1 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.16hrs.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.16hrs.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.16hrs.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.1hr.rep.1 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.1hr.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.1hr.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.1hr.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.20min.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.24hrs.rep.1 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.24hrs.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.24hrs.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.24hrs.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.2hrs.rep.1 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.2hrs.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.2hrs.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.2hrs.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.40min.rep.2.x MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.40min.rep.2.y MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.40min.rep.3.x MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.40min.rep.3.y MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.40min.rep.4.x MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.40min.rep.4.y MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.4hrs.rep.1 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.4hrs.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.4hrs.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.4hrs.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.5min.rep.1 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.5min.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.5min.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.5min.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.8hrs.rep.1 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.8hrs.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.8hrs.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.DETA.NO.8hrs.rep.4 MTB.strain.1254.Ctrl.vs.1.0.mM.DETA.NO.40min.rep.1.x MTB.strain.1254.Ctrl.vs.1.0.mM.DETA.NO.40min.rep.2.x MTB.strain.1254.Ctrl.vs.1.0.mM.DETA.NO.40min.rep.2.y MTB.strain.1254.Ctrl.vs.1.0.mM.DETA.NO.40min.rep.4.y MTB.strain.1254.Ctrl.vs.5.0.mM.DETA.NO.40min.rep.1.x MTB.strain.1254.Ctrl.vs.5.0.mM.DETA.NO.40min.rep.2.x MTB.strain.1254.Ctrl.vs.5.0.mM.DETA.NO.40min.rep.2.y MTB.strain.1254.Ctrl.vs.5.0.mM.DETA.NO.40min.rep.3.x MTB.strain.1254.Ctrl.vs.5.0.mM.DETA.NO.40min.rep.3.y MTB.strain.1254.Ctrl.vs.5.0.mM.DETA.NO.40min.rep.4.x MTB.strain1254.vs.MTB.strain.1254.for.DETA.NO.exp.control.rep.1 MTB.strain1254.vs.MTB.strain.1254.for.DETA.NO.exp.control.rep.3 MTB.strain1254.vs.MTB.strain.1254.for.DETA.NO.exp.control.rep.4 MTB.strain1254.vs.MTB.strain.1254.for.DETA.NO.exp.control.rep.5 X0.02mM.GSNOvsDMSO..6h
932,932,932,1248,cell wall stress,H37Rv.vs..H37Rv.SDS.treated.rep.2 H37Rv.vs..H37Rv.SDS.treated.rep.3 H37Rv.vs..H37Rv.SDS.treated.rep.4 H37Rv.vs..H37Rv.SDS.treated.rep.6 H37Rv.wild.type.control.vs.0.05..SDS.for.60.min.rep.1 H37Rv.wild.type.control.vs.0.05..SDS.for.60.min.rep.2 H37Rv.wild.type.control.vs.0.05..SDS.for.60.min.rep.3 H37Rv.wild.type.control.vs.0.05..SDS.for.60.min.rep.4 H37Rv.wild.type.control.vs.0.05..SDS.for.60.min.rep.5 H37Rv.wild.type.control.vs.0.05..SDS.for.60.min.rep.6 MTB1254_SDS_90MIN_01 MTB1254_SDS_90MIN_02 MTB1254_SDS_90MIN_03 MTB1254_SDS_90MIN_04 SDS_3h_01
933,933,933,1249,iron scavengers - antitubercular drugs,X0.5ug.mL..111891vsDMSO.6h X0.5ug.mL..111891vsDMSO.6hA X0.5ug.mL..111895vsDMSO..6h X0.5ug.mL..111895vsDMSO.6h X0.5ug.mL..121940vsDMSO.6h X0.5ug.mL..121940vsDMSO.6hA X0.5ug.mL..124196vsDMSO..6h X0.5ug.mL..124196vsDMSO..6hA X1.ug.mL..111891vsDMSO..6h X100uM.Dipyridylvsctrl..6h X100uM.DipyridylvsCtrl..6hA X150uM.Deferroxaminevsctrl..6hA X150uM.Deferroxaminevsctrl..6hB X1ug.mL..111891.DMSO..12h..1 X1ug.mL..111891.DMSO..12h..2 X1ug.mL..111891vsDMSO..6h X1ug.mL..111895vsDMSO..6hA X1ug.mL..121940.DMSO..12h X1ug.mL..124196vsDMSO..6hA X200uM.Dipyridylvsctrl..6hA X250uM.DeferroxaminevsDMSO..6h X2ug.mL..111891vsDMSO..6h X2ug.mL..121940vsDMSO..6hA H37Rv.Ctrl.vs.10.ug.ml.garlic.extract.6hrs H37Rv.Ctrl.vs.5.ug.ml.garlic.extract.6hrs
934,934,934,1250,respiration inhibitors - antitubercular drugs,X0.1mMGSNO.20ug.mLCPZvsDMSO.6h X0.1mMGSNO.20ug.mLCPZvsDMSO.6hA X0.5uMValinomycinvsDMSO.6h X10ug.mL.clotrimvsEtOH..6h X10ug.mL.ClotrimvsEtOH..6hA X10ug.mL.EconazolevsEtOH..6h X10ug.mL.EconazolevsEtOH..6hA X10ug.mL.TRZ.DMSO..6h..1 X10ug.mL.TRZ.DMSO..6h..2 X10ug.mLchlorpromazinevsctrl.6h X10ug.mLchlorpromazinevsctrl.6hA X10uM.CCCP.DMSO..6h X13ug.mL.clfzine.DMSO..6h..1 X1mM.DNP.DMSO..6h..1 X1mM.DNP.DMSO..6h..2 X2.5mM.Dinitrophenol.DMSO..6h X20ug.mL.chlorprmz.DMSO..6h..1 X20ug.mL.chlorprmz.DMSO..6h..2 X20ug.mL.CPZvsDMSO..6h X20ug.mL.CPZvsDMSO..6h.A X20ug.mL.KCN.DMSO..6h X20uM.DCCD.DMSO..6h..1 X20uM.DCCD.DMSO..6h..2 X24ug.mL.Econazole.DMSO..6h..1 X25ug.mL.CPZvsDMSO..6h.A X25ug.mL.CPZvsDMSO..6h.B X25ug.mLCPZ.0.1mMGSNO.DMSO..1 X25ug.mLCPZ.0.1mMGSNO.DMSO..2 X25ug.mLCPZ.0.1mMGSNO.DMSO..3 X25ug.mLCPZ.0.1mMGSNOvsDMSO.A X2mM.DTTvsDMSO..6h X2mM.DTTvsDMSO..6h.A X50uM.CCCP.DMSO..6h..1 X50uM.CCCP.DMSO..6h..2 X50uM.CCCPvsDMSO..6h X50uM.NigericinvsDMSO..6h X50uM.NigericinvsDMSO..6h.A X5ug.mL.CFZ.0.1mM.GSNO.DMSO..1 X5ug.mLCFZ.0.1mMGSNOvsDMSO.A X60ug.mL.ChlorprovsEtOH..6h CDC1551.ctrl.vs.10.ug.ml.Thioridazine.1hr.rep.1 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.1hr.rep.2 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.2hr.rep.1 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.2hr.rep.2 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.6hr.rep.1 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.6hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.2 X20ug.ml.KCN.vs.DMSO.6hrs.x X20ug.ml.KCN.vs.DMSO.6hrs.y
935,935,935,1251,limited nutrients,Starvation_1254_OA50_12h_03 Starvation_1254_OA50_12h_04 Starvation_1254_OA50_24h_01 Starvation_1254_OA50_24h_02 Starvation_1254_OA50_24h_03 Starvation_1254_OA50_24h_04 Starvation_1254_OA50_3d_02 Starvation_1254_OA50_3d_03 Starvation_1254_OA50_3d_04 Starvation_1254_OA50_5d_01 Starvation_1254_OA50_5d_02 Starvation_1254_OA50_5d_03 Starvation_1254_OA50_5d_04 Starvation_1254_OA50_6h_02 Starvation_1254_OA50_6h_03 Starvation_1254_OA50_6h_04 Starvation_1254_PA50_24h_01 Starvation_1254_PA50_24h_03 Starvation_1254_PA50_24h_04 Starvation_OA50_24h_01 Starvation_OA50_24h_02 Starvation_1254_OA50_12h_02
936,936,936,1252,low pH,Mtb.response.to.pH.5.5..6.replicates. pH4.8vspH6.8..11h. pH4.8vspH6.8..2h.B pH4.8vspH6.8..4h. pH4.8vspH6.8..4h.A pH4.8vspH6.8..4h.C pH4.8vspH6.8..5.5h. pH4.8vspH6.8..5h. pH4.8vspH6.8..6h. pH5.2vspH6.8..10.5h. pH5.2vspH6.8..11h. pH5.2vspH6.8..16h. pH5.2vspH6.8..5h. pH5.6vspH6.8..11h. pH5.6vspH6.8..4h. pH5.6vspH6.8..4h.B pH5.6vspH6.8..5h.
937,937,937,1253,aromatic amides - antitubercular drugs,X0.12mg.mL.BZA.pH5.6..2h. X0.12mg.mL.BZAvspH5.6..5h. X0.12mg.mL.Nam.pH5.6..2h..1 X0.12mg.mL.Nam.pH5.6..2h..2 X0.12mg.mL.Nam.pH5.6..4h..1 X0.12mg.mL.Nam.pH5.6..4h..2 X0.12mg.mL.NamvspH5.6..4h. X0.12mg.mL.NamvspH5.6..5.5h. X0.12mg.mL.NamvspH5.6..7h. X0.12mg.mL.PZA.pH5.6..2h. X0.12mg.mL.PZA.pH5.6..4h..1 X0.12mg.mL.PZA.pH5.6..4h..2 X0.12mg.mL.PZA.pH5.6..5h. X0.12mg.mL.PZAvspH5.6..11h. X0.12mg.mL.PZAvspH5.6..4h. X0.12mg.mL.PZAvspH5.6..4h.A X0.12mg.mL.PZAvspH5.6..5.5h. X0.12mg.mL.PZAvspH5.6..6h. X0.12mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.NamvspH5.6..5h. X1.2mg.mL.PZA.pH5.6..5h. X1.2mg.mL.PZAvspH5.6..7h. X1.2mg.mL.PZAvspH5.6..7h.A X40ug.mL.5CL.pH5.6..2h..1 X40ug.mL.5CL.pH5.6..4h..1 X40ug.mL.5CL.pH5.6..4h..2 X40ug.mL.5CL.pH5.6..4h..3 X80ug.mL.5CL.pH5.6..2h.
938,938,938,1256,low pH,Mtb.response.to.pH.5.5..6.replicates. pH4.8vspH6.8..11h. pH4.8vspH6.8..2h. pH4.8vspH6.8..2h.A pH4.8vspH6.8..2h.B pH4.8vspH6.8..4h. pH4.8vspH6.8..4h.A pH4.8vspH6.8..4h.B pH4.8vspH6.8..4h.C pH4.8vspH6.8..5.5h. pH4.8vspH6.8..5h. pH4.8vspH6.8..6h. pH4.8vspH6.8..7h. pH5.2vspH6.8..10.5h. pH5.2vspH6.8..11h. pH5.2vspH6.8..16h. pH5.2vspH6.8..2h. pH5.2vspH6.8..5.5h. pH5.2vspH6.8..5h. pH5.6vspH6.8..11h. pH5.6vspH6.8..16h. pH5.6vspH6.8..2h. pH5.6vspH6.8..2h.A pH5.6vspH6.8..4h. pH5.6vspH6.8..4h.B pH5.6vspH6.8..5h. pH5.6vspH6.8..7h.
939,939,939,1257,aromatic amides - antitubercular drugs,X0.12mg.mL.BZA.pH5.6..2h. X0.12mg.mL.BZA.pH5.6..4h..1 X0.12mg.mL.BZA.pH5.6..4h..2 X0.12mg.mL.BZAvspH5.6..11h. X0.12mg.mL.BZAvspH5.6..5h. X0.12mg.mL.BZAvspH5.6..7h. X0.12mg.mL.Nam.pH5.6..2h..1 X0.12mg.mL.Nam.pH5.6..2h..2 X0.12mg.mL.Nam.pH5.6..4h..1 X0.12mg.mL.Nam.pH5.6..4h..2 X0.12mg.mL.NamvspH5.6..4h. X0.12mg.mL.NamvspH5.6..5.5h. X0.12mg.mL.NamvspH5.6..7h. X0.12mg.mL.PZA.pH5.6..2.5h. X0.12mg.mL.PZA.pH5.6..2h. X0.12mg.mL.PZA.pH5.6..4h..1 X0.12mg.mL.PZA.pH5.6..4h..2 X0.12mg.mL.PZA.pH5.6..5h. X0.12mg.mL.PZAvspH5.6..10.5h. X0.12mg.mL.PZAvspH5.6..11h. X0.12mg.mL.PZAvspH5.6..4h. X0.12mg.mL.PZAvspH5.6..4h.A X0.12mg.mL.PZAvspH5.6..5.5h. X0.12mg.mL.PZAvspH5.6..6h. X0.12mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.NamvspH5.6..10.5h. X1.2mg.mL.NamvspH5.6..5h. X1.2mg.mL.PZA.pH5.6..2h.. X1.2mg.mL.PZA.pH5.6..5h. X1.2mg.mL.PZAvspH5.6..10.5h. X1.2mg.mL.PZAvspH5.6..16h. X1.2mg.mL.PZAvspH5.6..4h. X1.2mg.mL.PZAvspH5.6..4h.A X1.2mg.mL.PZAvspH5.6..4h.B X1.2mg.mL.PZAvspH5.6..6h. X1.2mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.PZAvspH5.6..7h. X1.2mg.mL.PZAvspH5.6..7h.A X40ug.mL.5CL.pH5.6..2h..1 X40ug.mL.5CL.pH5.6..2h..2 X40ug.mL.5CL.pH5.6..4h..1 X40ug.mL.5CL.pH5.6..4h..2 X40ug.mL.5CL.pH5.6..4h..3 X80ug.mL.5CL.pH5.6..2h.
940,940,940,1258,limited - carbon source,Acetate.3mM.10m.01 Acetate.3mM.10m.03 Acetate.3mM.10m.05 Acetate.3mM.10m.06 Acetate.3mM.10m_04 Acetate.3mM.2h.02 Acetate.3mM.2h.05 Acetate.3mM.2h.06 Acetate.3mM.30m.01 Acetate.3mM.30m.02 Acetate.3mM.30m.03 Acetate.3mM.30m.04 Acetate.3mM.30m.05 Acetate.3mM.30m.06 Acetate.3mM.30m.08 Acetate.3mM.60m.01 Acetate.3mM.60m.02 Acetate.3mM.60m.03 Acetate.3mM.60m.04
941,941,941,1259,transcription inhibitors  - antitubercular drugs,X0.1ug.mL.RifpvsEtOH..6h X0.1ug.mL.RifpvsEtOH..6hA X0.2ug.mL.RifvsDMSO..6h X0.2ug.mL.RifvsDMSO..6hA X0.5ug.mLRifapentinevsEtOH.6h X0.5ug.mLRifapentinevsEtOH.6hA Rif.0.5ug.mL.vsDMSO.2.5h Rif.0.5ug.mL.vsDMSO.2.5hA Rif.5ug.mL.vsDMSO.2.5h Rif.5ug.mL.vsDMSO.2.5hA
